text,label
"""We detected unusual login attempts, please secure your account now""",1
"""We are committed to providing excellent customer service""",0
"""Check out our latest news and announcements""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Payment declined, update your card details now""",1
"""This page showcases our portfolio and recent work""",0
"""Find answers in our help and support section""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Read our privacy policy and terms of service""",0
"""Login now to confirm your identity and restore full access""",1
"""Verify your account immediately to avoid suspension""",1
"""Your subscription will expire today, renew immediately""",1
"""Payment declined, update your card details now""",1
"""Your account will be deactivated within 24 hours""",1
"""Your bank account has been locked, click here to unlock""",1
"""We offer high quality solutions for modern businesses""",0
"""Urgent action required to prevent unauthorized access""",1
"""Join our community and start your journey today""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""Urgent action required to prevent unauthorized access""",1
"""Your account will be deactivated within 24 hours""",1
"""We offer high quality solutions for modern businesses""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""This page showcases our portfolio and recent work""",0
"""Read our privacy policy and terms of service""",0
"""Discover our features and pricing plans""",0
"""Discover our features and pricing plans""",0
"""Login now to confirm your identity and restore full access""",1
"""Welcome to our online learning platform""",0
"""Thank you for visiting our official website""",0
"""This website uses cookies to enhance user experience""",0
"""Contact us for more information or support""",0
"""We offer high quality solutions for modern businesses""",0
"""Welcome to our online learning platform""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Your bank account has been locked, click here to unlock""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""Your account will be deactivated within 24 hours""",1
"""Urgent action required to prevent unauthorized access""",1
"""Your tax refund is pending, confirm details to proceed""",1
"""Welcome to our online learning platform""",0
"""Your account will be deactivated within 24 hours""",1
"""Learn how our platform helps improve productivity""",0
"""Thank you for visiting our official website""",0
"""This website uses cookies to enhance user experience""",0
"""Welcome to our official homepage""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Check out our latest news and announcements""",0
"""Learn more about our company values and mission""",0
"""Contact us for more information or support""",0
"""Read our privacy policy and terms of service""",0
"""This website provides information about our products and services""",0
"""Your account will be deactivated within 24 hours""",1
"""Explore our documentation and developer guides""",0
"""Welcome to our official homepage""",0
"""We detected unusual login attempts, please secure your account now""",1
"""This page showcases our portfolio and recent work""",0
"""Join our community and start your journey today""",0
"""This website uses cookies to enhance user experience""",0
"""Check out our latest news and announcements""",0
"""Your subscription will expire today, renew immediately""",1
"""Reset your password immediately to protect your account""",1
"""Sign up to receive our monthly newsletter""",0
"""Your account will be deactivated within 24 hours""",1
"""Suspicious activity detected, verify your account ownership""",1
"""This page showcases our portfolio and recent work""",0
"""You have received a secure message, login to view""",1
"""We noticed multiple failed login attempts, confirm it was you""",1
"""We offer high quality solutions for modern businesses""",0
"""Security alert: unfamiliar device detected, verify now""",1
"""Welcome to our official homepage""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""This website uses cookies to enhance user experience""",0
"""Update your billing information to continue using our services""",1
"""This page showcases our portfolio and recent work""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Check out our latest news and announcements""",0
"""Your bank account has been locked, click here to unlock""",1
"""Join our community and start your journey today""",0
"""Verify your account immediately to avoid suspension""",1
"""Find answers in our help and support section""",0
"""Join our community and start your journey today""",0
"""Learn how our platform helps improve productivity""",0
"""Payment declined, update your card details now""",1
"""Find answers in our help and support section""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Your account has been temporarily limited due to suspicious activity""",1
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Learn more about our company values and mission""",0
"""Payment declined, update your card details now""",1
"""Sign up to receive our monthly newsletter""",0
"""We detected unusual login attempts, please secure your account now""",1
"""Find answers in our help and support section""",0
"""This page showcases our portfolio and recent work""",0
"""Update your billing information to continue using our services""",1
"""Welcome to our official homepage""",0
"""Welcome to our official homepage""",0
"""Find answers in our help and support section""",0
"""Your subscription will expire today, renew immediately""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""Reset your password immediately to protect your account""",1
"""Welcome to our online learning platform""",0
"""Sign up to receive our monthly newsletter""",0
"""Your parcel delivery is on hold, confirm your address""",1
"""We detected unusual login attempts, please secure your account now""",1
"""Reset your password immediately to protect your account""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""We are committed to providing excellent customer service""",0
"""This website provides information about our products and services""",0
"""We detected unusual login attempts, please secure your account now""",1
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Failure to verify your information will result in permanent closure""",1
"""You have received a secure message, login to view""",1
"""Explore our documentation and developer guides""",0
"""Welcome to our online learning platform""",0
"""We are committed to providing excellent customer service""",0
"""Confirm your payment details to avoid transaction failure""",1
"""We offer high quality solutions for modern businesses""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Welcome to our official homepage""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Your tax refund is pending, confirm details to proceed""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""Discover our features and pricing plans""",0
"""This website uses cookies to enhance user experience""",0
"""Contact us for more information or support""",0
"""Read our privacy policy and terms of service""",0
"""Login now to confirm your identity and restore full access""",1
"""Welcome to our official homepage""",0
"""Browse our latest blog posts and updates""",0
"""This website provides information about our products and services""",0
"""Check out our latest news and announcements""",0
"""This website provides information about our products and services""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Your tax refund is pending, confirm details to proceed""",1
"""Check out our latest news and announcements""",0
"""Learn how our platform helps improve productivity""",0
"""Login now to confirm your identity and restore full access""",1
"""This page showcases our portfolio and recent work""",0
"""Your account will be deactivated within 24 hours""",1
"""Thank you for visiting our official website""",0
"""Urgent action required to prevent unauthorized access""",1
"""Verify your account immediately to avoid suspension""",1
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""We are committed to providing excellent customer service""",0
"""Your bank account has been locked, click here to unlock""",1
"""Discover our features and pricing plans""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Suspicious activity detected, verify your account ownership""",1
"""This website uses cookies to enhance user experience""",0
"""Your account has been temporarily limited due to suspicious activity""",1
"""Reset your password immediately to protect your account""",1
"""Learn more about our company values and mission""",0
"""Check out our latest news and announcements""",0
"""Login now to confirm your identity and restore full access""",1
"""Find answers in our help and support section""",0
"""We offer high quality solutions for modern businesses""",0
"""Learn more about our company values and mission""",0
"""Urgent action required to prevent unauthorized access""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Thank you for visiting our official website""",0
"""Check out our latest news and announcements""",0
"""Confirm your payment details to avoid transaction failure""",1
"""Your subscription will expire today, renew immediately""",1
"""Welcome to our online learning platform""",0
"""Failure to verify your information will result in permanent closure""",1
"""This website uses cookies to enhance user experience""",0
"""Reset your password immediately to protect your account""",1
"""Verify your account immediately to avoid suspension""",1
"""Security alert: unfamiliar device detected, verify now""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""Sign up to receive our monthly newsletter""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""Verify your account immediately to avoid suspension""",1
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""This website provides information about our products and services""",0
"""Security alert: unfamiliar device detected, verify now""",1
"""We offer high quality solutions for modern businesses""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Contact us for more information or support""",0
"""Verify your account immediately to avoid suspension""",1
"""Welcome to our official homepage""",0
"""Check out our latest news and announcements""",0
"""Verify your account immediately to avoid suspension""",1
"""Contact us for more information or support""",0
"""Explore our documentation and developer guides""",0
"""This website provides information about our products and services""",0
"""Your bank account has been locked, click here to unlock""",1
"""Learn more about our company values and mission""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""This website uses cookies to enhance user experience""",0
"""Learn more about our company values and mission""",0
"""Learn more about our company values and mission""",0
"""Your account will be deactivated within 24 hours""",1
"""Join our community and start your journey today""",0
"""Login now to confirm your identity and restore full access""",1
"""Contact us for more information or support""",0
"""We are committed to providing excellent customer service""",0
"""Learn how our platform helps improve productivity""",0
"""Browse our latest blog posts and updates""",0
"""This website uses cookies to enhance user experience""",0
"""Update your billing information to continue using our services""",1
"""Failure to verify your information will result in permanent closure""",1
"""We detected unusual login attempts, please secure your account now""",1
"""Login now to confirm your identity and restore full access""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""Sign up to receive our monthly newsletter""",0
"""This website uses cookies to enhance user experience""",0
"""Urgent action required to prevent unauthorized access""",1
"""Thank you for visiting our official website""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Urgent action required to prevent unauthorized access""",1
"""Check out our latest news and announcements""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Check out our latest news and announcements""",0
"""Thank you for visiting our official website""",0
"""Suspicious activity detected, verify your account ownership""",1
"""We offer high quality solutions for modern businesses""",0
"""We are committed to providing excellent customer service""",0
"""This page showcases our portfolio and recent work""",0
"""We are committed to providing excellent customer service""",0
"""Learn how our platform helps improve productivity""",0
"""We are committed to providing excellent customer service""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Contact us for more information or support""",0
"""We are committed to providing excellent customer service""",0
"""This website uses cookies to enhance user experience""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""Payment declined, update your card details now""",1
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""You have received a secure message, login to view""",1
"""This website provides information about our products and services""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""Contact us for more information or support""",0
"""Payment declined, update your card details now""",1
"""Your subscription will expire today, renew immediately""",1
"""Urgent action required to prevent unauthorized access""",1
"""Your account will be deactivated within 24 hours""",1
"""We are committed to providing excellent customer service""",0
"""We detected unusual login attempts, please secure your account now""",1
"""Welcome to our official homepage""",0
"""Failure to verify your information will result in permanent closure""",1
"""Read our privacy policy and terms of service""",0
"""Reset your password immediately to protect your account""",1
"""Login now to confirm your identity and restore full access""",1
"""You have received a secure message, login to view""",1
"""Welcome to our online learning platform""",0
"""Your account will be deactivated within 24 hours""",1
"""Browse our latest blog posts and updates""",0
"""You have received a secure message, login to view""",1
"""We are committed to providing excellent customer service""",0
"""Confirm your payment details to avoid transaction failure""",1
"""Your bank account has been locked, click here to unlock""",1
"""Join our community and start your journey today""",0
"""Read our privacy policy and terms of service""",0
"""Login now to confirm your identity and restore full access""",1
"""We offer high quality solutions for modern businesses""",0
"""We offer high quality solutions for modern businesses""",0
"""Check out our latest news and announcements""",0
"""Explore our documentation and developer guides""",0
"""Your account will be deactivated within 24 hours""",1
"""Find answers in our help and support section""",0
"""Welcome to our online learning platform""",0
"""Login now to confirm your identity and restore full access""",1
"""Payment declined, update your card details now""",1
"""Contact us for more information or support""",0
"""Reset your password immediately to protect your account""",1
"""Update your billing information to continue using our services""",1
"""We are committed to providing excellent customer service""",0
"""Explore our documentation and developer guides""",0
"""Check out our latest news and announcements""",0
"""Urgent action required to prevent unauthorized access""",1
"""Your bank account has been locked, click here to unlock""",1
"""Suspicious activity detected, verify your account ownership""",1
"""This website provides information about our products and services""",0
"""Your account will be deactivated within 24 hours""",1
"""Welcome to our online learning platform""",0
"""Welcome to our official homepage""",0
"""Urgent action required to prevent unauthorized access""",1
"""Your tax refund is pending, confirm details to proceed""",1
"""Join our community and start your journey today""",0
"""Check out our latest news and announcements""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""You have received a secure message, login to view""",1
"""Sign up to receive our monthly newsletter""",0
"""Discover our features and pricing plans""",0
"""Update your billing information to continue using our services""",1
"""Welcome to our online learning platform""",0
"""Security alert: unfamiliar device detected, verify now""",1
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Explore our documentation and developer guides""",0
"""Your account has been temporarily limited due to suspicious activity""",1
"""We detected unusual login attempts, please secure your account now""",1
"""Login now to confirm your identity and restore full access""",1
"""This page showcases our portfolio and recent work""",0
"""This page showcases our portfolio and recent work""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Find answers in our help and support section""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""Welcome to our official homepage""",0
"""Browse our latest blog posts and updates""",0
"""Explore our documentation and developer guides""",0
"""Your account will be deactivated within 24 hours""",1
"""Sign up to receive our monthly newsletter""",0
"""We detected unusual login attempts, please secure your account now""",1
"""Update your billing information to continue using our services""",1
"""Your account will be deactivated within 24 hours""",1
"""Learn more about our company values and mission""",0
"""Sign up to receive our monthly newsletter""",0
"""Login now to confirm your identity and restore full access""",1
"""Security alert: unfamiliar device detected, verify now""",1
"""Verify your account immediately to avoid suspension""",1
"""Welcome to our online learning platform""",0
"""Browse our latest blog posts and updates""",0
"""Your account will be deactivated within 24 hours""",1
"""Browse our latest blog posts and updates""",0
"""Thank you for visiting our official website""",0
"""This website uses cookies to enhance user experience""",0
"""Your account will be deactivated within 24 hours""",1
"""Browse our latest blog posts and updates""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""We are committed to providing excellent customer service""",0
"""We are committed to providing excellent customer service""",0
"""This website uses cookies to enhance user experience""",0
"""This page showcases our portfolio and recent work""",0
"""This website provides information about our products and services""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Browse our latest blog posts and updates""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Welcome to our online learning platform""",0
"""This website uses cookies to enhance user experience""",0
"""This website provides information about our products and services""",0
"""Your parcel delivery is on hold, confirm your address""",1
"""Browse our latest blog posts and updates""",0
"""Browse our latest blog posts and updates""",0
"""Security alert: unfamiliar device detected, verify now""",1
"""Learn more about our company values and mission""",0
"""Payment declined, update your card details now""",1
"""We are committed to providing excellent customer service""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""This website uses cookies to enhance user experience""",0
"""We detected unusual login attempts, please secure your account now""",1
"""Browse our latest blog posts and updates""",0
"""Your bank account has been locked, click here to unlock""",1
"""We are committed to providing excellent customer service""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""Learn how our platform helps improve productivity""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Learn more about our company values and mission""",0
"""This page showcases our portfolio and recent work""",0
"""This website uses cookies to enhance user experience""",0
"""Join our community and start your journey today""",0
"""Update your billing information to continue using our services""",1
"""This website provides information about our products and services""",0
"""Discover our features and pricing plans""",0
"""Urgent action required to prevent unauthorized access""",1
"""Confirm your payment details to avoid transaction failure""",1
"""Sign up to receive our monthly newsletter""",0
"""Learn more about our company values and mission""",0
"""Your subscription will expire today, renew immediately""",1
"""Your subscription will expire today, renew immediately""",1
"""Welcome to our online learning platform""",0
"""Check out our latest news and announcements""",0
"""We offer high quality solutions for modern businesses""",0
"""Your parcel delivery is on hold, confirm your address""",1
"""Confirm your payment details to avoid transaction failure""",1
"""Learn how our platform helps improve productivity""",0
"""Confirm your payment details to avoid transaction failure""",1
"""We detected unusual login attempts, please secure your account now""",1
"""Your tax refund is pending, confirm details to proceed""",1
"""Learn how our platform helps improve productivity""",0
"""Learn how our platform helps improve productivity""",0
"""Explore our documentation and developer guides""",0
"""Security alert: unfamiliar device detected, verify now""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""Update your billing information to continue using our services""",1
"""Payment declined, update your card details now""",1
"""You have received a secure message, login to view""",1
"""We offer high quality solutions for modern businesses""",0
"""Browse our latest blog posts and updates""",0
"""Your parcel delivery is on hold, confirm your address""",1
"""Thank you for visiting our official website""",0
"""You have received a secure message, login to view""",1
"""This website provides information about our products and services""",0
"""Sign up to receive our monthly newsletter""",0
"""Your parcel delivery is on hold, confirm your address""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""Urgent action required to prevent unauthorized access""",1
"""Join our community and start your journey today""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Learn how our platform helps improve productivity""",0
"""Your bank account has been locked, click here to unlock""",1
"""Update your billing information to continue using our services""",1
"""Security alert: unfamiliar device detected, verify now""",1
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Learn how our platform helps improve productivity""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""This page showcases our portfolio and recent work""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Find answers in our help and support section""",0
"""Verify your account immediately to avoid suspension""",1
"""Security alert: unfamiliar device detected, verify now""",1
"""Welcome to our official homepage""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Check out our latest news and announcements""",0
"""Sign up to receive our monthly newsletter""",0
"""Read our privacy policy and terms of service""",0
"""Your bank account has been locked, click here to unlock""",1
"""Failure to verify your information will result in permanent closure""",1
"""This website provides information about our products and services""",0
"""Verify your account immediately to avoid suspension""",1
"""Explore our documentation and developer guides""",0
"""This page showcases our portfolio and recent work""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""Find answers in our help and support section""",0
"""Your account has been temporarily limited due to suspicious activity""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""We offer high quality solutions for modern businesses""",0
"""Check out our latest news and announcements""",0
"""Welcome to our online learning platform""",0
"""Your subscription will expire today, renew immediately""",1
"""This website uses cookies to enhance user experience""",0
"""This website provides information about our products and services""",0
"""Failure to verify your information will result in permanent closure""",1
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""We are committed to providing excellent customer service""",0
"""Payment declined, update your card details now""",1
"""Reset your password immediately to protect your account""",1
"""We are committed to providing excellent customer service""",0
"""This page showcases our portfolio and recent work""",0
"""Join our community and start your journey today""",0
"""Join our community and start your journey today""",0
"""Learn how our platform helps improve productivity""",0
"""Your subscription will expire today, renew immediately""",1
"""Failure to verify your information will result in permanent closure""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""You have received a secure message, login to view""",1
"""Browse our latest blog posts and updates""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""This page showcases our portfolio and recent work""",0
"""Welcome to our online learning platform""",0
"""Welcome to our official homepage""",0
"""Your subscription will expire today, renew immediately""",1
"""Find answers in our help and support section""",0
"""Verify your account immediately to avoid suspension""",1
"""Read our privacy policy and terms of service""",0
"""Update your billing information to continue using our services""",1
"""Learn how our platform helps improve productivity""",0
"""Browse our latest blog posts and updates""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Thank you for visiting our official website""",0
"""We offer high quality solutions for modern businesses""",0
"""Payment declined, update your card details now""",1
"""Join our community and start your journey today""",0
"""Welcome to our official homepage""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Payment declined, update your card details now""",1
"""Join our community and start your journey today""",0
"""Verify your account immediately to avoid suspension""",1
"""We detected unusual login attempts, please secure your account now""",1
"""Your bank account has been locked, click here to unlock""",1
"""We offer high quality solutions for modern businesses""",0
"""Discover our features and pricing plans""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Sign up to receive our monthly newsletter""",0
"""Welcome to our online learning platform""",0
"""Contact us for more information or support""",0
"""Suspicious activity detected, verify your account ownership""",1
"""We detected unusual login attempts, please secure your account now""",1
"""This website provides information about our products and services""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""We are committed to providing excellent customer service""",0
"""Your bank account has been locked, click here to unlock""",1
"""This page showcases our portfolio and recent work""",0
"""Update your billing information to continue using our services""",1
"""Your bank account has been locked, click here to unlock""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""Check out our latest news and announcements""",0
"""Payment declined, update your card details now""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Your tax refund is pending, confirm details to proceed""",1
"""Payment declined, update your card details now""",1
"""Reset your password immediately to protect your account""",1
"""Failure to verify your information will result in permanent closure""",1
"""Update your billing information to continue using our services""",1
"""Login now to confirm your identity and restore full access""",1
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Learn how our platform helps improve productivity""",0
"""Failure to verify your information will result in permanent closure""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Welcome to our online learning platform""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Confirm your payment details to avoid transaction failure""",1
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Confirm your payment details to avoid transaction failure""",1
"""We noticed multiple failed login attempts, confirm it was you""",1
"""You have received a secure message, login to view""",1
"""We detected unusual login attempts, please secure your account now""",1
"""This page showcases our portfolio and recent work""",0
"""Your account has been temporarily limited due to suspicious activity""",1
"""Security alert: unfamiliar device detected, verify now""",1
"""Confirm your payment details to avoid transaction failure""",1
"""Welcome to our official homepage""",0
"""Read our privacy policy and terms of service""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Read our privacy policy and terms of service""",0
"""Learn more about our company values and mission""",0
"""Verify your account immediately to avoid suspension""",1
"""This page showcases our portfolio and recent work""",0
"""Learn how our platform helps improve productivity""",0
"""Update your billing information to continue using our services""",1
"""Our services are trusted by thousands of customers worldwide""",0
"""Failure to verify your information will result in permanent closure""",1
"""Learn how our platform helps improve productivity""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""Learn more about our company values and mission""",0
"""Reset your password immediately to protect your account""",1
"""We offer high quality solutions for modern businesses""",0
"""Check out our latest news and announcements""",0
"""Read our privacy policy and terms of service""",0
"""Discover our features and pricing plans""",0
"""Learn more about our company values and mission""",0
"""Browse our latest blog posts and updates""",0
"""We detected unusual login attempts, please secure your account now""",1
"""Reset your password immediately to protect your account""",1
"""Your bank account has been locked, click here to unlock""",1
"""You have received a secure message, login to view""",1
"""We are committed to providing excellent customer service""",0
"""We offer high quality solutions for modern businesses""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Your account has been temporarily limited due to suspicious activity""",1
"""We offer high quality solutions for modern businesses""",0
"""Explore our documentation and developer guides""",0
"""This page showcases our portfolio and recent work""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Urgent action required to prevent unauthorized access""",1
"""Verify your account immediately to avoid suspension""",1
"""Update your billing information to continue using our services""",1
"""Security alert: unfamiliar device detected, verify now""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""Payment declined, update your card details now""",1
"""Your account will be deactivated within 24 hours""",1
"""Your bank account has been locked, click here to unlock""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""Discover our features and pricing plans""",0
"""Find answers in our help and support section""",0
"""Your account has been temporarily limited due to suspicious activity""",1
"""Update your billing information to continue using our services""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""We are committed to providing excellent customer service""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Confirm your payment details to avoid transaction failure""",1
"""Learn how our platform helps improve productivity""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Your account will be deactivated within 24 hours""",1
"""Welcome to our official homepage""",0
"""You have received a secure message, login to view""",1
"""Your account has been temporarily limited due to suspicious activity""",1
"""This website provides information about our products and services""",0
"""Payment declined, update your card details now""",1
"""Read our privacy policy and terms of service""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Welcome to our official homepage""",0
"""Learn how our platform helps improve productivity""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Your account has been temporarily limited due to suspicious activity""",1
"""Browse our latest blog posts and updates""",0
"""This page showcases our portfolio and recent work""",0
"""This website provides information about our products and services""",0
"""Join our community and start your journey today""",0
"""Your account has been temporarily limited due to suspicious activity""",1
"""Your bank account has been locked, click here to unlock""",1
"""Reset your password immediately to protect your account""",1
"""Welcome to our online learning platform""",0
"""Payment declined, update your card details now""",1
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Confirm your payment details to avoid transaction failure""",1
"""Contact us for more information or support""",0
"""Failure to verify your information will result in permanent closure""",1
"""Welcome to our online learning platform""",0
"""Payment declined, update your card details now""",1
"""This website provides information about our products and services""",0
"""This website uses cookies to enhance user experience""",0
"""Reset your password immediately to protect your account""",1
"""Explore our documentation and developer guides""",0
"""Update your billing information to continue using our services""",1
"""Explore our documentation and developer guides""",0
"""Security alert: unfamiliar device detected, verify now""",1
"""Explore our documentation and developer guides""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""Explore our documentation and developer guides""",0
"""This page showcases our portfolio and recent work""",0
"""Suspicious activity detected, verify your account ownership""",1
"""Security alert: unfamiliar device detected, verify now""",1
"""Learn how our platform helps improve productivity""",0
"""This website provides information about our products and services""",0
"""Thank you for visiting our official website""",0
"""Learn how our platform helps improve productivity""",0
"""We are committed to providing excellent customer service""",0
"""Welcome to our online learning platform""",0
"""Welcome to our online learning platform""",0
"""We offer high quality solutions for modern businesses""",0
"""Contact us for more information or support""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Suspicious activity detected, verify your account ownership""",1
"""This page showcases our portfolio and recent work""",0
"""Your bank account has been locked, click here to unlock""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Your account will be deactivated within 24 hours""",1
"""Thank you for visiting our official website""",0
"""Welcome to our official homepage""",0
"""We offer high quality solutions for modern businesses""",0
"""Welcome to our official homepage""",0
"""Your account will be deactivated within 24 hours""",1
"""Explore our documentation and developer guides""",0
"""Login now to confirm your identity and restore full access""",1
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Welcome to our official homepage""",0
"""We offer high quality solutions for modern businesses""",0
"""Read our privacy policy and terms of service""",0
"""Discover our features and pricing plans""",0
"""Your subscription will expire today, renew immediately""",1
"""Reset your password immediately to protect your account""",1
"""Update your billing information to continue using our services""",1
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Your parcel delivery is on hold, confirm your address""",1
"""We are committed to providing excellent customer service""",0
"""Update your billing information to continue using our services""",1
"""Your subscription will expire today, renew immediately""",1
"""Join our community and start your journey today""",0
"""Browse our latest blog posts and updates""",0
"""Payment declined, update your card details now""",1
"""Welcome to our online learning platform""",0
"""We noticed multiple failed login attempts, confirm it was you""",1
"""Learn more about our company values and mission""",0
"""Your tax refund is pending, confirm details to proceed""",1
"""Verify your account immediately to avoid suspension""",1
"""Your bank account has been locked, click here to unlock""",1
"""Verify your account immediately to avoid suspension""",1
"""Update your billing information to continue using our services""",1
"""Welcome to our official homepage""",0
"""You have received a secure message, login to view""",1
"""Security alert: unfamiliar device detected, verify now""",1
"""Learn how our platform helps improve productivity""",0
"""Verify your account immediately to avoid suspension""",1
"""Your account will be deactivated within 24 hours""",1
"""Payment declined, update your card details now""",1
"""Suspicious activity detected, verify your account ownership""",1
"""We are committed to providing excellent customer service""",0
"""Welcome to our online learning platform""",0
"""Join our community and start your journey today""",0
"""Payment declined, update your card details now""",1
"""Thank you for visiting our official website""",0
"""Browse our latest blog posts and updates""",0
"""Learn how our platform helps improve productivity""",0
"""Discover our features and pricing plans""",0
"""Your bank account has been locked, click here to unlock""",1
"""Read our privacy policy and terms of service""",0
"""Your parcel delivery is on hold, confirm your address""",1
"""Suspicious activity detected, verify your account ownership""",1
"""Read our privacy policy and terms of service""",0
"""Urgent action required to prevent unauthorized access""",1
"""Find answers in our help and support section""",0
"""We detected unusual login attempts, please secure your account now""",1
"""Verify your account immediately to avoid suspension""",1
"""Reset your password immediately to protect your account""",1
"""Confirm your payment details to avoid transaction failure""",1
"""We are committed to providing excellent customer service""",0
"""Learn how our platform helps improve productivity""",0
"""Discover our features and pricing plans""",0
"""We are committed to providing excellent customer service""",0
"""Our services are trusted by thousands of customers worldwide""",0
"""Your email storage is full, upgrade now to continue receiving messages""",1
"""Update your billing information to continue using our services""",1
"""Sign up to receive our monthly newsletter""",0
